,Address,Business_Summary,Country_of_Incorporation,Established_In,Latest_Update,Name,Number_of_Employees,Ownership_Type,Primary_Sector,contacts
59, Coca-Cola Bottling Company of Saudi Arabia Building Khurais Street Al Nahda Area 62146 Saudi Arabia Riyadh 11585 ,Bottling and production of carbonated soft drinks and water.,Saudi Arabia,1993, Also known as: CCBCSA Last updated on: 31 January 2019 ,Coca-Cola Bottling Company of Saudi Arabia ,1100,Private,Food and Beverages,"Tel: +966 11-232-4777,Fax: +966 11-230-3307,Fax: +966 11-232-3485,Email: ccbcsa@coca-cola.com.sa,"
60, King Faisal Specialist Hospital and Research Centre Building Takhassusi Street Al Madhar Ash Shamali Area 3354 Saudi Arabia Riyadh 11211 ,Ownership and operation of a general hospital.,Saudi Arabia,1975, Also known as: KFSH&RC Last updated on: 30 November 2018 ,King Faisal Specialist Hospital and Research Centre ,10000,Government,Health Care,"Tel: +966 11-464-7272,Tel: +966 9200-12312,Fax: +966 11-441-4839,Email: info@kfshrc.edu.sa,www.kfshrc.edu.sa,"
61, Aitco Building King Khalid Road 4th Floor 677 Saudi Arabia Dammam 31421 ,"Provides civil contracting for infrastructure, buildings and heavy projects; marine contracting including dredging and land reclamation.",Saudi Arabia,1980, Last updated on: 14 June 2019 ,Saudi Kier Construction Limited ,11,Foreign,Construction,"Tel: +966 13-833-0600,Fax: +966 13-832-2959,Email: ksaoffice@kier.sa,"
62, Al Dhahry Group of Companies Building Al Nahda Street Al Rabwa Area 56272 Saudi Arabia Riyadh 11554 ,"Holding company with interests in civil contracting for commercial and residential building projects; provides general catering and security services; distribution of military, safety and security and kitchen equipment; ownership and operation of supermarkets.",Saudi Arabia,1983, Last updated on: 31 October 2018 ,Al Dhahry Group of Companies ,,Private,Construction,"Tel: +966 11-232-0242,Fax: +966 11-231-5317,Email: hala@al-dhahry-group.com,www.al-dhahry-group.com,"
63, Cortina Food Industries Company Limited Building Street 33 Jeddah Industrial City 2 3981 Saudi Arabia Jeddah 21481 ,"Production of juices, milk, cream and yogurt; provides packaging services.",Saudi Arabia,1976, Also known as: Cortina Last updated on: 30 April 2019 ,Cortina Food Industries Company Limited ,185,Private,Food and Beverages,"Tel: +966 12-637-2965,Tel: +966 12-638-0635,Fax: +966 12-637-7873,Email: management@cortina.com.sa,www.cortina.com.sa,"
64, Bakheet Company for Machinery Building Al Haramain Highway 6101 Saudi Arabia Jeddah 21442 ,"Distribution of construction, industrial and electrical machinery and equipment; distribution of pumps; provides repair and maintenance services.",Saudi Arabia,1974," Also known as: Bakheet, Bakheet Company Last updated on: 11 February 2019 ",Bakheet Company for Machinery ,220,Private,Industrial Manufacturing,"Tel: +966 12-691-0550,Tel: +966 9200-21212,Fax: +966 12-691-0288,Email: info@bakheet.com.sa,www.bakheet.com.sa,"
65, Al Othman Office Tower Prince Sultan Bin Abdulaziz Street 402 Saudi Arabia Al Khobar 31952 ,"Production of milk, yogurt, cheese, juices and tomato paste.",Saudi Arabia,1982, Also known as: Nada Last updated on: 27 June 2019 ,Al Othman Agricultural Production and Processing Company ,,Private,Food and Beverages,"Tel: +966 13-853-3333,Fax: +966 13-853-3275,Email: nada@nadadairy.com,www.nadadairy.com,"
66, Saudi Arabia Riyadh,Provides securities brokerage and online trading services.,Saudi Arabia,1979, Also known as: JJ Al Johar Trading Last updated on: 10 March 2017 ,Jamal Khalid Al Johar Trading Commercial Development Company (dissolved),-,Private,Financial Services,
67, Saudi Arabia Riyadh,Telecommunications infrastructure development; provides Internet services.,Saudi Arabia,1982, Last updated on: 25 January 2016 ,Silki La Silki National Telecommunications Company (dissolved),-,Private,Telecommunications,
68," Home Office Complex Building 12 Al Urouba Street Ground Floor, Office 1 Wasel Area 12334-7795 Saudi Arabia Riyadh 2163 ",Association involved in business advisory services including market strategy in country partnership and logistic services to people who wants to set their business in Saudi Arabia or United States; involved in promotion of trade and investment between the United States and Saudi Arabia.,Saudi Arabia,1993, Also known as: USSABC Last updated on: 08 March 2019 ,US-Saudi Arabian Business Council ,20,Government,Services,"Tel: +966 11-474-2555,Tel: +966 11-474-3555,Tel: +966 11-476-7913,Fax: +966 11-476-7167,Fax: +966 11-476-2697,Email: ussaudibc@us-sabc.org,www.us-sabc.org,"
69, Dar Al Yaum Media Building Dammam Khobar Highway Al Sharqiyah Area 565 Saudi Arabia Dammam 31421 ,Publishing of newspapers.,Saudi Arabia,1965," Also known as: Al Yaum, Al Yaum (newspaper) Last updated on: 18 February 2019 ",Dar Al Yaum Media ,400,Private,Media,"Tel: +966 13-858-0800,Fax: +966 13-858-8777,Email: mail@alyaum.com,www.alyaum.com,"
70, Thimar Al Jazirah Company Building Prince Fawaz Bin Abdulaziz Street Rabwa District 523 Saudi Arabia Riyadh 11421 ,"Distribution of medical supplies, equipment and pharmaceuticals; ownership and operation of medical supplies, equipment and pharmaceuticals retail outlets.",Saudi Arabia,1980, Also known as: TAC Last updated on: 22 October 2018 ,Thimar Al Jazirah Company ,250,Private,Health Care,"Tel: +966 11-445-4545,Fax: +966 11-493-4568,Email: info@thimar.com,www.thimar.com,"
71, Al Hamad Office Building Olaya Street 3rd Floor Al Muruj Area 88292 Saudi Arabia Riyadh 11662 ,"Provides architectural, engineering consultancy, interior design and landscape services.",Saudi Arabia,2007, Also known as: Hykal Last updated on: 31 May 2019 ,Hykal Omrani ,65,Private,Construction,"Tel: +966 11-455-9669,Fax: +966 11-455-7375,Email: info@hykal.com.sa,https://www.hykal.com.sa,"
72, Al Abjal Saudi Elevators Company Building King Abdulaziz Road Al Rabiah Area 360342 Saudi Arabia Riyadh 11313 ,"Distribution, installation and maintenance of elevators, lifts and escalators.",Saudi Arabia,2008, Last updated on: 22 March 2019 ,Al Abjal Saudi Elevators Company ,60,Private,Industrial Manufacturing,"Tel: +966 11-494-4662,Fax: +966 11-494-4661,Email: info@alabjal.com,www.alabjal.com,"
73, Arabian Consulting Engineering Services Building Makkah Road Olaya District 146 Saudi Arabia Riyadh 11411 ,Provides engineering consultancy and architectural services.,Saudi Arabia,1978, Also known as: ACES Last updated on: 21 December 2018 ,Arabian Consulting Engineering Services ,200,Private,Construction,"Tel: +966 11-464-3538,Fax: +966 11-465-9647,Email: info@aces-ksa.com,www.aces-ksa.com,"
74, Al Ghaithy Plaza Madinah Road 12433 Saudi Arabia Jeddah 21473 ,Provides civil contracting for commercial and residential building projects.,Saudi Arabia,, Last updated on: 31 January 2018 ,Advanced Construction Co. For Contracting and Maintenance ,,Private,Construction,"Tel: +966 12-650-1555,Fax: +966 12-650-1555,"
75, The National Company for Cleaning & Paint Brushes Limited Building Al Kharj Road Riyadh Industrial Zone 2 6421 Saudi Arabia Riyadh 11442 ,Manufacture of brushes.,Saudi Arabia,1979, Also known as: Nibco Last updated on: 21 September 2018 ,The National Company for Cleaning & Paint Brushes Limited ,25,Private,Consumer Goods,"Tel: +966 11-498-0540,Tel: +966 11-498-0544,Fax: +966 11-498-2095,Email: info@nibco-ltd.com,www.nibco-ltd.com,"
76," Building 5 1st Floor Business Gate Area, Zone A 92748 Saudi Arabia Riyadh 11663 ","Provides direct investments in the agriculture and food and beverages sectors. Through its main subsidiaries; ownership and operation of wheat, sugar beet, maize and potatoes farms; provides asset management services including fund, wealth and portfolio management; distribution of meat products.",Saudi Arabia,2009, Also known as: SALIC Last updated on: 05 March 2019 ,Saudi Agricultural and Livestock Investment Company ,42,Government,Agriculture,"Tel: +966 11-400-1144,Fax: +966 11-400-7375,Email: info@salic.com.sa,www.salic.com.sa,"
77, The Higher Institute for Plastics Fabrication Building Al Kharj Road 160 Riyadh New Industrial City 1 7798 Saudi Arabia Riyadh 14331 ,Provides plastics fabrication technology training services.,Saudi Arabia,2008, Also known as: HIPF Last updated on: 21 September 2018 ,The Higher Institute for Plastics Fabrication ,150,Government,Education,"Tel: +966 11-498-9600,Fax: +966 11-498-9650,Email: info@hipf.edu.sa,www.hipf.edu.sa,"
78, RAE Company for Environmental Services Rae company building Turki Bin Ahmed Alsudairi Street 1st Floor Alwaha Area 59818 Saudi Arabia Riyadh 11535 ,Provides water treatment services; provides engineering consultancy services; provides civil contracting for heavy projects; provides sanitary contracting services; provides rehabilitation of water desalination and power plants.,Saudi Arabia,2007," Also known as: RAE Company for Environmental Services, Rae Last updated on: 26 November 2018 ",Alrai Environmental Services Company ,123,Private,Power and Utilities,"Tel: +966 11-275-2496,Tel: +966 11-275-4908,Tel: +966 11-210-5718,Fax: +966 11-210-5715,Email: gm@rae.com.sa,https://rae.com.sa,"
79, Al Tawail Management Consulting Training Building 621 Khorais Road King Abdullah Quarter Area 9171 Saudi Arabia Riyadh 11413 ,"Provides courses in business, communications, economics, management, leadership, business law, secretarial administration, accounting, engineering technologies, sales and marketing; business consulting services.",Saudi Arabia,1995, Also known as: AMT Last updated on: 29 September 2018 ,Al-Tawail Management Consulting & Training ,35,Private,Services,"Tel: +966 11-208-6894,Tel: +966 11-208-6895,Fax: +966 11-208-6899,Email: info@altawail.com,www.altawail.com,"
80, Tatweer Education Holding Company Building King Saud Road Al Murabba District 21227 Saudi Arabia Riyadh 11475 ,Holding company with interest in development of the educational program in Saudi Arabia; civil contracting services for schools; provides local bus transportation services for schools and universities; offers educational support services,Saudi Arabia,2008, Also known as: THC Last updated on: 08 February 2018 ,Tatweer Education Holding Company ,,Government,Education,"Tel: +966 92-000-0438,Fax: +966 11-264-1501,Email: info@tatweer.sa,www.tatweer.sa,"
81, 696 Saudi Arabia Jeddah,Provides civil contracting for commercial and residential building projects.,Saudi Arabia,, Last updated on: 01 April 2019 ,Abdul Rahman Abdul Aziz Al-Namlah Heirs Contracting Co. ,-,Foreign,Construction,"Tel: +966 12-672-4210,Fax: +966 12-672-9253,"
